,기업명,제목,LABEL
4,디알젬,[시그널] 의료 X-ray 제조사 디알젬 “상장 후 신규 공장 설립으로 글로벌 경...,
5,디알젬,"이달 말 코스닥 상장 다알젬 ""글로벌 엑스레이 시장 경쟁력 확대""",
6,디알젬,"[IPO 간담회] 디알젬, 안정적 해외매출이 장점…코스닥 상장",
7,디알젬,[더벨]투심 위축에도 IPO 수요예측 줄줄이 대기,
8,디알젬,"IPO 슈퍼위크 돌입…""자금 꼬여 저평가 기업 나오면 투자 기회로""",
9,디알젬,[에너지경제신문 오프라인] 먼저 만나는 에너지경제신문 헤드라인 - 11월 7일,
0,싸이토젠,"""피 한방울로 癌전이 검사…2020년께 흑자전환 전망""",
1,싸이토젠,기업공모 '슈퍼위크'…아시아나IDT 등 7곳 일반청약,
2,싸이토젠,[증시캘린더]파멥신·아시아나IDT 등 7개사 공모주 청약,
0,디알젬,"디알젬, 코스닥 시장 상장 목표로 공모 진행",
0,남화산업,오늘의 증시 메모[11월 16일],
1,남화산업,오늘의 증시 일정 (11월 16일),
2,남화산업,[코스닥 메모] (15일) 신규상장=디자인(227100) 등,
0,싸이토젠,"[마켓인]싸이토젠, 공모가 1만7000원 확정…13·14일 청약",
1,싸이토젠,"싸이토젠, 공모가 1만7천원 확정…밴드가 상단",
2,싸이토젠,"싸이토젠, 공모가 1만7000원 확정…22일 코스닥 입성",
3,싸이토젠,[장외주식] 공모예정 싸이토젠과 청구예정 바디프랜드의 눈에 띄는 상승,
4,싸이토젠,코스닥 입성 앞둔 바이오株,
5,싸이토젠,파멥신 등 제약바이오기업 2곳 이번주 청약-11월 상장 유력,
6,싸이토젠,오늘의 증시 메모[11월 13일],
7,싸이토젠,[증시캘린더]파멥신·아시아나IDT 등 7개사 공모주 청약,
8,싸이토젠,오늘의 증시 일정 (11월 13일),
9,싸이토젠,"[장외시황] 바디프랜드, 내년 2월 상장 6.27%↑…아주IB투자, 확정공모가 150...",
0,싸이토젠,"전병희 싸이토젠 대표 ""살아있는 암세포 잡아 초기 암까지 분석…다국적제약사...",
1,싸이토젠,[이슈+]올 상장 철회 기업 16개사 '작년 육박'…추가 철회도?,
0,싸이토젠,"싸이토젠, 공모가 1만7000원 확정",
1,싸이토젠,[IPO시장 풀썩] '대어급' 상장 철회 속 로봇· 바이오 기업 선방,
2,싸이토젠,"[코스닥 메모] (13일) 공모주청약=디알젬(한국) 파멥신(KB,삼성) 싸이토젠(키...",
3,싸이토젠,오늘의 증시 메모[11월 14일],
4,싸이토젠,오늘의 증시 일정 (11월 14일),
5,싸이토젠,"[장외시황] 14일 상장 노바렉스, 공모가 대비 44.74%↑",
6,싸이토젠,[장외주식] 청구예정 바디프랜드의 강세와 공모예정 티로보틱스의 상승세,
0,싸이토젠,"[장외시황] 파멥신, 확정공모가 6만원…싸이토젠 4.76%↑",
1,싸이토젠,[장외주식] 공모완료 노바렉스의 상승세와 공모예정 싸이토젠의 반등,
2,싸이토젠,코스피 2080선 마감…제약·바이오株 대규모 하락세,
3,싸이토젠,[위클리 마켓] 오렌지라이프·한화·에스엠 등 실적 발표,
0,남화산업,기업공모 '슈퍼위크'…아시아나IDT 등 7곳 일반청약,
1,남화산업,[증시캘린더]파멥신·아시아나IDT 등 7개사 공모주 청약,
0,남화산업,"[장외시황] 14일 상장 노바렉스, 공모가 대비 44.74%↑",
0,남화산업,[증시캘린더]파멥신·아시아나IDT 등 7개사 공모주 청약,
1,남화산업,"대신證의 'IPO' 급부상...""비결은 하우스 내부""",
0,남화산업,골프장 업계는 '활황 中'…골프 관련株 상장 '봇물',
1,남화산업,골프장업계 활황 관련株 상장 `봇물',
2,남화산업,[이슈+]올 상장 철회 기업 16개사 '작년 육박'…추가 철회도?,
0,남화산업,"[마켓인사이트]무안CC 운영 남화산업, 성장성 우려 딛고 수요예측 흥행",
1,남화산업,"[더벨]'IPO 맞대결' 신라레저·남화산업, 엇갈린 운명",
2,남화산업,"[더벨]남화산업, IPO 시장 침체 파고 넘었다",
3,남화산업,오늘의 증시 메모[11월 15일],
4,남화산업,오늘의 증시 일정 (11월 15일),
5,남화산업,“믿어도 되나”...거래소 공시포털 ‘오류 투성이’,
0,네오펙트,"네오펙트, 국내외서 스마트 재활솔루션 지식재산권 취득",
1,네오펙트,"네오펙트, 뇌졸중 재활솔루션 디자인·기술특허 취득",
2,네오펙트,"네오펙트, 뇌졸중 재활솔루션 국내외 디자인 및 기술특허 취득",
3,네오펙트,"네오펙트, 뇌졸중 재활 기기 국내외 디자인 및 기술 특허 취득",
4,네오펙트,[CEO인터뷰] 반호영 네오펙트 대표 “‘이색적이다’ 기관투자자 호평 감사”,
5,네오펙트,"네오펙트, 뇌졸중 재활솔루션 디자인·기술 특허 취득",
6,네오펙트,"네오펙트 등 상장 예정 4곳, 19~20일 양일 동안 개인청약 진행",
7,네오펙트,"[11월 19일 스타트업 비즈니스 동향]룰루랩,아산나눔재단,네오펙트,텀블벅 등",
8,네오펙트,오늘의 증시 메모[11월 20일],
9,네오펙트,코스피ㆍ코스닥 동반↑… 코오롱생명과학ㆍ셀트리온 호재에 바이오株↑,
0,네오펙트,19~20일 네오펙트 등 상장 4개社 청약 경쟁,
1,네오펙트,"[주간증시캘린더]헬스케어 대어 싸이토젠·디알젬 상장...티로보틱스, 네오펙...",
0,네오펙트,[스타트업브리핑] 디캠프 투자확대·토스 보험자회사 설립,
0,네오펙트,"[더벨]네오펙트, AI 재활기기 '성장성' 입증할까",
1,네오펙트,"포문 연 ‘DSC·TS인베’, 성과는",
2,네오펙트,[더벨]밀어내기 IPO 승인…금주만 8곳 수요예측,
0,네오펙트,"네오펙트, 공모가 1만1000원 최종 확정… 28일 코스닥 입성",
1,네오펙트,"네오펙트, 공모가 1만1000원 확정...총 공모규모 198억원",
2,네오펙트,"네오펙트, 코스닥 상장 공모가 1만1000원 확정",
3,네오펙트,"네오펙트, 공모가 1만1000원..수요예측 경쟁률 388대1",
4,네오펙트,"네오펙트, 코스닥 공모가 11,000원 확정",
5,네오펙트,"네오펙트, 공모가 1만1천원 최종 확정",
6,네오펙트,"네오펙트, 공모가 1만1000원 최종 확정",
7,네오펙트,"네오펙트, 공모가 1만1000원 최종 확정",
8,네오펙트,투심 악화불구 화창한 헬스케어 IPO…에이비엘바이오 등 대어급 대기,
9,네오펙트,"[장외시황] 티로보틱스, 수요예측 마감일 4.35%↑…파멥신 1.38%↓",
0,네오펙트,"네오펙트, 공모가 1만 1000원 최종 확정",
1,네오펙트,"[위클리 마켓] 코스닥 게임개발 `대어` 베스파, 21~22일 공모청약",
2,네오펙트,"[장외시황] 유틸렉스, 코스닥 심사 승인에 3.97%↑…카카오게임즈 ‘최저가’",
0,디자인,"이케아·디자인진흥원, 디자인 교류 업무협약 체결",
1,디자인,위닉스 공기청정기 '제로S' 세계 4대 디자인 어워드 석권,
2,디자인,광주시 이길형 2019디자인비엔날레 총감독 위촉,
3,디자인,디자인 한류 가능성을 엿보다,
4,디자인,"'라이프스타일 디자인 호텔' 라까사호텔 광명, 5일 그랜드 오픈",
5,디자인,"스텔라 아르투아, 500ml 캔 패키지 디자인 교체…단순미와 세련미 강조",
6,디자인,[정경원의 디자인 노트] [192] 시골길에서 힌트 얻은 센트럴파크,
7,디자인,"담양군, ‘2018년 대한민국 디자인대상’ 국무총리 표창",
8,디자인,"경산시, 시민중심 서비스 디자인을 위한 특강 실시",
9,디자인,"신라대, 캡스톤디자인 경진대회",
0,디자인,"LG전자, 디자인 강화한 프리미엄 가구 가전 'LG 오브제' 런칭",
1,디자인,"""직선보다 곡선의 미를"" 전주시, 디자인대상 대통령상 수상",
2,디자인,"여수광양항만공사, 정책디자인단 발족",
3,디자인,"배달의민족 김봉진 대표, 대한민국 디자인대상 수상",
4,디자인,"KGC인삼공사, 레드닷 디자인 어워드 수상 기념 프로모션 진행",
5,디자인,"의정부시, 시민 정책 디자인단회의 개최",
6,디자인,"[수입車단신]벤츠, 혁신 디자인 아이콘 '더 뉴 CLS' 출시 外",
7,디자인,"LH, 고객·생산자 참여하는 가구디자인 공모전 당선작 선정",
8,디자인,‘디자인코리아’ 개막…K-디자인 세계로…,
9,디자인,"건양대, 캡스톤디자인 경진대회 진행",
0,디자인,[포토] 대한민국디자인대상,
1,디자인,"LH, 고객·생산자 참여하는 가구디자인 공모전 당선작 선정",
2,디자인,"전기 스쿠터부터 목 베개까지··· ""미국 시장에 맞는 디자인 제품 만들어 드...",
3,디자인,(포토) (주)디자인랜드 영덕태풍피해주민돕기 성금기탁,
4,디자인,"광주시, 이길형 2019디자인비엔날레 총감독 위촉",
5,디자인,"선문대 장훈종 교수, 대한민국디자인대상 '국무총리표창'",
6,디자인,"[DIFA 2018] 칼슨, 우아하고 세련된 디자인의 'GLE Coupe'와 'Diospyros' 전시",
7,디자인,"신라대, '재정지원사업 성과 전시 및 캡스톤 디자인 경진대회' 성료",
8,디자인,"SC제일은행, ""미키 마우스 90주년 기념 '미키' 캐릭터 상품 디자인""",
9,디자인,입주 예정이라면 주목! 포천가구단지 디자인엘가 다양한 할인행사로 소비자 부...,
0,디자인,"경남도, 안전하고 편리한 '유니버설 디자인 도시' 추진",
1,디자인,"바둑, 디자인 거리를 디자인하다",
2,디자인,EQ900 디자인·이름 싹 바꿔 출시,
3,디자인,선문대 장훈종 교수 디자인 대상,
4,디자인,2019디자인비엔날레 총감독 이길형 홍익대 교수,
5,디자인,담양군 '대한민국 디자인대상' 국무총리 표창,
6,디자인,"울산 동구, 범죄예방 환경디자인 실시설계 용역 최종보고회",
7,디자인,[김태형의 디자인 싱킹]<9>더 나은 개선을 위한 사고방식,
8,디자인,"[중기굿즈]""안전·기능·디자인 삼박자 갖춘 이유식용 다기능 냄비""",
9,디자인,STX 중형 탱커선 디자인 로이드선급 기본승인 획득,
0,디자인,"[특징주]국보디자인, 자사주 취득 소식에 '급등'",
1,디자인,"쁘띠엘린, '2018 대한민국디자인대상' 디자인 경영 부문 수상",
2,디자인,"경기도 지식콘서트, 7개 도시 순회 성남코리아디자인센터에서 폐막",
3,디자인,"신라대, 재정지원사업 성과 전시·캡스톤 디자인 경진대회",
4,디자인,"한국관광대학교, 캡스톤디자인 성과발표회 지난 1일 진행",
5,디자인,'혁신' 디자인에서 답을 찾다,
6,디자인,2019 디자인비엔날레 총감독에 이길형 교수 위촉,
7,디자인,"STX조선, 로이드선급으로부터 MR탱커 디자인 AIP 획득",
8,디자인,[아이폰XS 출시]밤샘 대기줄 200m 넘어...첫 구매자 “디자인 마음에 들어”,
9,디자인,`K디자인` 세계 곳곳에 뿌리내려요,
0,파멥신,"제2 유한양행 꿈꾸는 바이오벤처… 파멥신·앱클론, 항암제에 사활 걸어",
1,파멥신,[증시캘린더]파멥신·아시아나IDT 등 7개사 공모주 청약,
2,파멥신,파멥신 등 제약바이오기업 2곳 이번주 청약-11월 상장 유력,
3,파멥신,코스닥 입성 앞둔 바이오株,
4,파멥신,[장외주식] 공모예정 싸이토젠과 청구예정 바디프랜드의 눈에 띄는 상승,
5,파멥신,[코스닥 주간메모] 11월 12일(월) ~ 11월 16일(금),
6,파멥신,"[더벨]코어운용, 석달새 800억 자금몰이…소프트클로징",
7,파멥신,"[장외시황] 바디프랜드, 내년 2월 상장 6.27%↑…아주IB투자, 확정공모가 150...",
8,파멥신,오늘의 증시 일정 (11월 13일),
9,파멥신,오늘의 증시 메모[11월 13일],
0,파멥신,[증시캘린더]파멥신·아시아나IDT 등 7개사 공모주 청약,
1,파멥신,바이오벤처 상장에 웃는 제약사들…지분투자 평가차익 상승,
2,파멥신,대덕 바이오벤처들 연속 '홈런' 비결은?,
3,파멥신,기업공모 '슈퍼위크'…아시아나IDT 등 7곳 일반청약,
4,파멥신,차세대 항체신약 기술 ‘이중항체’…제약ㆍ바이오업계 ‘주목’,
0,디자인,"상표·디자인 선진 5개국, 4차 산업혁명 시대 비전 제시",
1,디자인,"삼성전자, ‘갤럭시 J4+’ 출시…성능에 디자인·편의성까지 입혔다",
2,디자인,"슈피겐코리아, 대한민국 디자인대상 산업부장관 표창 수상",
3,디자인,토요타 ‘아발론’ 개발자 랜디 스티븐슨 “가장 신경 쓴 부분은 디자인”,
4,디자인,"파킹클라우드, 2018년 대한민국 디자인대상 ‘산업통상자원부 장관상’ 수상",
5,디자인,[포토]스포티한 디자인의 토요타 '올 뉴 아발론 하이브리드',
6,디자인,"론칭 16주년 예지미인, 패키지 디자인 전면 리뉴얼",
7,디자인,"벨기 프리미엄 맥주, 스텔라 아르투아 패키기 디자인 바꿔",
8,디자인,"`쏘나타 맞수` 9.5세대 신형 말리부, 연말 출시…디자인·성능↑, 디젤·HV 추...",
9,디자인,BTS 이미지 구축한 디자인 회사 '플러스엑스'...너브 2대 주주로 유치해 글로...,
0,로보티즈,"로보티즈, 공모가 1만4000원 확정…17~18일 청약",
1,로보티즈,"로보티즈, 공모가 1만4000원 확정…17~18일 일반청약",
2,로보티즈,"[마켓인]로보티즈, 공모가 1만4000원 확정…밴드 상단 초과",
3,로보티즈,"로보티즈, 공모가 1만4,000원 결정···공모희망가 최상단 돌파",
4,로보티즈,"로보티즈, 공모가 1만4000원…공모희망가 최상단 돌파",
5,로보티즈,"로보티즈, 공모가 1만4000원…공모희망가 최상단 돌파",
6,로보티즈,"로보티즈, 공모가 1만4000원…공모희망가 최상단 돌파",
7,로보티즈,'코스닥 입성' 앞둔 옵티팜·로보티즈 공모 청약,
8,로보티즈,사진으로보는 '로보월드 2018' 주말 모습,
9,로보티즈,"[2018 로보월드①] '영화같은 현실'.. 로봇 기술, 어디까지 왔나?",
0,로보티즈,올해 코스닥 IPO 목표 달성 ‘빨간불’...로보티즈 등 수요예측 주목,
1,로보티즈,"[더벨]'LG전자 파트너' 로보티즈, IPO 수요예측 돌입",
2,로보티즈,"LG전자, 자율주행 로봇으로 글로벌 로봇산업 진입에 박차",
3,로보티즈,"로보티즈, 로봇 솔루션 및 플랫폼 전문기업",
4,로보티즈,'가방이 웨어러블 로봇 변신'…LG전자가 투자한 로봇업체 '주목',
5,로보티즈,"올 국내 증시, 51社 신규 상장…100곳 돌파 '난망'",
6,로보티즈,"노동환경 변화, 무인화·데이터 자동화 진화…유망주는?",
7,로보티즈,"국내 최대 로봇 축전 '로보월드 2018', 오늘 개막",
8,로보티즈,분위기 반전 노리는 IPO…공모주 투자 나서볼까,
9,로보티즈,[장외주식] SI업체 엘지씨엔에스의 상승세 지속,
0,로보티즈,"[2018 로보월드] 로보티즈, 역동적인 움직임을 구현한 다이나믹셀 시스템·키...",
1,로보티즈,"[2018 로보월드] 협회, 우수로봇기업 채용설명회 개최",
0,로보티즈,옵티팜·로보티즈 이번주 공모 청약,
1,로보티즈,에스퓨얼셀 오늘 코스닥 상장...옵티팜·로보티즈 공모주 청약,
2,로보티즈,물류부터 청소·반려로봇까지…로보월드 2018 성료,
3,로보티즈,상장 앞둔 기업들 전전긍긍,
0,노바렉스,노바렉스 “코스닥 상장 통해 건강기능식품 글로벌기업으로 재도약”,
1,노바렉스,"[장외시황] 바디프랜드, 1만8750원 마감…1.32%↓",
2,노바렉스,[장외주식] 19년 기업공개(IPO)예정인 티맥스소프트의 완만한 상승,
0,노바렉스,"노바렉스, 최종 공모가 1만9000원 확정…'총 공모금액 182억원'",
0,로보티즈,"김병수 로보티즈 대표 ""기업 중심으로 서비스 로봇산업 성장""",
1,로보티즈,"LG전자가 투자한 로보티즈 이달 상장...""서비스 로봇 산업 선도""",
2,로보티즈,[로보월드 2018 특집]국제로봇콘테스트,
3,로보티즈,14일까지 고양시 킨텍스서 '2018 로보월드' 열려,
4,로보티즈,[Story포토]로보월드 2018에서 트랜스포머 팔을 장착 해봤니?,
5,로보티즈,찬바람 부는 증시…IPO 줄줄이 대기,
6,로보티즈,"[2018 로보월드] 개막 3일, 우수 로봇 기업 채용의 장 열려",
7,로보티즈,스마트화 선도하는 '로봇산업의 미래' 조망,
8,로보티즈,우수 로봇기업 채용설명회 12일 킨텍스에서 열린다,
0,노바렉스,"노바렉스, 최종 공모가 1만9000원 확정…밴드 최하단",
1,노바렉스,"노바렉스, 최종 공모가 1만9000원 확정",
2,노바렉스,"노바렉스, 최종 공모가 1만9000원 확정… 5일부터 일반 청약",
3,노바렉스,"노바렉스, 공모가 1만9000원 확정",
4,노바렉스,"노바렉스,공모물량 축소…공모가도 희망가격 최하단",
5,노바렉스,"[장외시황] 노바렉스, 확정공모가 1만9000원",
6,노바렉스,"노바렉스, 국내 최다 개별인정원료+ 최다 고객사 장점-대신證",
7,노바렉스,코스피ㆍ코스닥 동반↑… 셀트리온ㆍ삼성바이오로직스ㆍ신라젠 공동↑,
8,노바렉스,"[위클리 마켓] CJ ENM, 7일 합병후 첫 실적 발표…파멥신 등 수요예측",
9,노바렉스,[장외주식] 공모예정 파멥신과 내년 상장 추진하는 티맥스소프트의 상승세,
0,노바렉스,"[증시캘린더]노바렉스 오늘, 디자인·디케이앤디 7~8일 공모주 청약",
1,노바렉스,노바렉스·CJ CGV 베트남홀딩스 등 4곳 청약,
2,노바렉스,"[기자수첩]IPO 예비기업, 최대주주가 무상기증 나선 이유는?",
3,노바렉스,회복세 진입한 증시…IPO시장은 여진 지속,
0,노바렉스,노바렉스 최대주주가 NH증권과 주식근질권계약 체결한 이유는,
1,노바렉스,노바렉스 등 공모기업 4곳 이번 주 일반 청약,
2,노바렉스,"농식품부, 국내 7개 기능성식품기업 미 국제박람회 참가 지원",
3,노바렉스,[코스닥 주간메모] 11월 5일(월) ~ 11월 9일(금),
4,노바렉스,오늘의 증시 메모[11월 6일],
5,노바렉스,국내 우수 기능성식품 해외시장 개척 지원,
6,노바렉스,오늘의 증시 일정 (11월 6일),
7,노바렉스,[장외주식] 공모예정 파멥신과 승인종목 현대오일뱅크의 상승세,
8,노바렉스,"[장외시황] 파멥신, 수요예측 첫날 5.38%↑…대보마그네틱, 6일 상장",
9,노바렉스,"농식품부, 국내 우수 기능성식품 해외시장 개척 지원에 팔걷어",
0,옵티팜,"[장외시황] 옵티팜, 공모청약 경쟁률 463.49대 1",
1,옵티팜,[코스닥 메모] (17일) 공모주청약=옵티팜(NH),
2,옵티팜,"[특징주] 이종장기 관련주, 내년초 '돼지 췌도' 사람 이식 소식에 강세",
3,옵티팜,올해 코스닥 기술특례 상장 역대 최다,
4,옵티팜,[아주증시포커스]현대차·하이닉스 '맑음' LG화학·네이버 '흐림',
5,옵티팜,[장외주식] 공모예정인 파멥신의 강세와 엘지씨엔에스의 신고가 경신,
6,옵티팜,"100개기업 상장 불투명, 4분기 IPO시장 찬바람",
0,옵티팜,"[더벨]옵티팜, '검은 목요일' 악재 속 IPO 선방",
1,옵티팜,옵티팜 파멥신까지…올해 코스닥 기술특례 상장 역대 최다 전망,
0,옵티팜,불확실성 장세 속 자회사 상장주 웃을까,
1,옵티팜,"코벤펀드 약발끝, 공모가 '묻지마 상단초과' 끝났다",
2,옵티팜,"이지바이오, 실적 및 재무구조 개선 기대-IBK투자증권",
3,옵티팜,"이지바이오, 3Q 실적 컨센 부합 전망-IBK",
4,옵티팜,오늘의 증시 메모[10월 17일],
5,옵티팜,[더벨]연내 공모 일정 윤곽…사라진 조단위 IPO,
6,옵티팜,오늘의 증시 일정 (10월 17일),
7,옵티팜,[코스닥 메모] (16일) 유상기준일=바른전자 등,
0,로보티즈,'LG전자와 로봇 사업 협력' 로보티즈 코스닥 상장,
1,로보티즈,"[더벨]로보티즈, '개발비' 털어내고 9%대 이익률 회복",
2,로보티즈,'로보월드 2018'를 통해 본 로봇 산업 풍향계,
3,로보티즈,[로보월드 2018 특집] 교육용 로봇 출품 업체 소개,
4,로보티즈,[e-브리핑]일상생활 스마트화 선도 로봇산업 미래 조망'2018 로보월드(ROBOT ...,
5,로보티즈,"[이데일리N] 최종구 금융위원장 ""공매도 위반 제재 절차 강화"" 外",
6,로보티즈,[에너지경제신문 오프라인] 먼저 만나는 에너지경제신문 헤드라인 - 10월 12일,
7,로보티즈,[미리보는 이데일리 신문]검은 목요일…불확실성에 숨막힌 증시,
8,로보티즈,"로봇산업진흥원, 본선 1200여팀 2696명 기량 마음껏 발휘",
9,로보티즈,"삼성은 5G, LG는 로봇·자율주행...전자업계 4차산업 특허 출원 열심",
0,옵티팜,"[장외시황] 옵티팜, 확정공모가 1만원…LGCNS, 신고가",
1,옵티팜,'코스닥 입성' 앞둔 옵티팜·로보티즈 공모 청약,
2,옵티팜,오늘의 증시 메모[10월 16일],
3,옵티팜,오늘의 증시 일정 (10월 16일),
4,옵티팜,[장외주식] SI업체 엘지씨엔에스의 신고가 경신과 현대엠엔소프트의 상승세,
0,옵티팜,옵티팜·로보티즈 이번주 공모 청약,
1,옵티팜,에스퓨얼셀 오늘 코스닥 상장...옵티팜·로보티즈 공모주 청약,
2,옵티팜,"[클릭 e종목]“옵티팜, VLP백신 2021년, 이종장기 2022년 시장 진입 목표”",
3,옵티팜,상장 앞둔 기업들 전전긍긍,
0,옵티팜,"옵티팜, VLP 백신 · 이종 장기 연구 개발 기업",
1,옵티팜,[위클리 마켓] CGV베트남 코스피 입성 앞둬…18·19일 수요예측,
2,옵티팜,찬바람 부는 증시…IPO 줄줄이 대기,
0,노바텍,"노바텍, 공모청약 돌입…""글로벌 최초 차폐자석 경쟁력 보유""",
1,노바텍,"'마그넷 기업' 노바텍·대보마그네틱, 코스닥 출사표",
2,노바텍,연이은 IPO 실패에 상장예정기업 '부담',
3,노바텍,"[더벨]셀리버리, 바이오 기업 IPO 흥행 이을까",
4,노바텍,증시 부진 여파 IPO시장 경직…“겨울은 이미 왔다”,
5,노바텍,"한국, 수소경제 도약 '도쿄 선언' 이행 글로벌 협력체계 구축 제시",
6,노바텍,"정부, 수소경제 도약 위한 글로벌 협력 강화",
7,노바텍,[코스닥 메모] (23일) 유상기준일=케이엠더블유 등,
8,노바텍,오늘의 증시 메모[10월 24일],
9,노바텍,오늘의 증시 일정 (10월 24일),
0,노바텍,[증시캘린더] 노바텍·엘앤씨바이오 24일까지 공모주 청약,
1,노바텍,노바텍·엘앤씨바이오·대보마그네틱 청약,
0,노바텍,"노바텍, 공모가 1만원 확정…기관 경쟁률 66.32대 1",
1,노바텍,"노바텍, 공모가 1만원으로 확정…23일부터 공모주 청약",
2,노바텍,"노바텍, 공모가 1만원 확정…내달 2일 코스닥 상장",
3,노바텍,연말 공모주 시장 '부익부 빈익빈' 예고,
4,노바텍,"사우디 에너지 장관 ""아람코, 러시아 북극 LNG 개발 프로젝트 참여""",
5,노바텍,"[장외시황] 노바렉스, 10% 급락…LG CNS, 최고가 경신",
6,노바텍,[장외주식] 승인종목 현대오일뱅크와 현대엔지니어링의 완만한 상승세,
7,노바텍,오늘의 증시 메모[10월 23일],
8,노바텍,오늘의 증시 일정 (10월 23일),
9,노바텍,엘앤씨바이오 등 코스닥 상장 예정사 이번주 청약,
0,옵티팜,"""대어급 다시 몰려온다""…IPO시장 급반색",
0,엘앤씨바이오,[위클리 마켓] LG생건·SK하이닉스·현대차 줄줄이 실적 발표,
1,엘앤씨바이오,[장외주식] 기업공개 예정인 티맥스소프트와 카카오게임즈의 반등,
0,엘앤씨바이오,[증시캘린더] 노바텍·엘앤씨바이오 24일까지 공모주 청약,
1,엘앤씨바이오,노바텍·엘앤씨바이오·대보마그네틱 청약,
0,엘앤씨바이오,"엘앤씨바이오, 공모가 2만4000원 확정…밴드 상단 초과",
1,엘앤씨바이오,"엘앤씨바이오, 공모가 2만4000원 확정…""재생의학 연구개발 전문기업 도약""",
2,엘앤씨바이오,엘앤씨바이오 등 코스닥 상장 예정사 이번주 청약,
3,엘앤씨바이오,앨엔씨바이오 공모가 2만4000원 확정···희망밴드 상단 초과,
4,엘앤씨바이오,"엘앤씨바이오, 공모가 2만4000원 확정…오는 23일 공모주 청약",
5,엘앤씨바이오,[코스닥 주간메모] 10월 22일(월) ~ 10월 26일(금),
6,엘앤씨바이오,오늘의 증시 메모[10월 23일],
7,엘앤씨바이오,오늘의 증시 일정 (10월 23일),
8,엘앤씨바이오,"[장외시황] 노바렉스, 10% 급락…LG CNS, 최고가 경신",
9,엘앤씨바이오,연말 공모주 시장 '부익부 빈익빈' 예고,
0,엘앤씨바이오,"이환철 엘엔씨바이오 대표 ""세계적 기업으로 도약하겠다""",
1,엘앤씨바이오,"[더벨]눈높이 낮춘 프라코, IPO 시장 악재 극복할까",
2,엘앤씨바이오,[더벨]연내 공모 일정 윤곽…사라진 조단위 IPO,
0,노바텍,'스마트폰용 특수자석' 노바텍 내달 2일 코스닥 입성,
1,노바텍,"[IPO 열전] 노바텍, ""차폐자석 성장성 무궁무진...내달 코스닥 상장""",
2,노바텍,[마켓인사이트]코스닥 상장 앞둔 노바텍 “자석 기술에 특화… 내년에는 무선...,
3,노바텍,"[IPO] 노바텍, 차폐자석 기술력에 삼성전자 독점공급…내달 2일 코스닥 상장",
4,노바텍,"""글로벌 마그넷 전문기업으로 거듭날 것""",
5,노바텍,"[IPO간담회]노바텍, 특허기술 기반 글로벌 기업 도약…내달 코스닥 상장",
6,노바텍,[IR플러스] 노바텍 “무선충전·자가발전 제품 개발해 매출 높일 것”,
7,노바텍,"[더벨]눈높이 낮춘 프라코, IPO 시장 악재 극복할까",
8,노바텍,[미리보는 이데일리신문] 페미니즘이 남녀 모두에 자유줄 때 진정한 화합,
9,노바텍,[에너지경제신문 오프라인] 먼저 만나는 에너지경제신문 헤드라인 - 10월 17일,
0,대보마그네틱,오늘의 증시 메모[10월 26일],
1,대보마그네틱,오늘의 증시 일정 (10월 26일),
2,대보마그네틱,[코스닥 메모] (25일) 무상기준일=서전기전 등,
0,엘앤씨바이오,"엘앤씨바이오, 11월 코스닥 상장…“재생의학 산업서 글로벌 리더 확신”",
1,엘앤씨바이오,"[오늘의 증시] 현대백화점 IR, 홍콩 증시 휴장 (10월17일)",
0,노바텍,바이오·로봇에 자석기업까지.. 코스닥 상장 이색 대결,
1,노바텍,[위클리 마켓] LG생건·SK하이닉스·현대차 줄줄이 실적 발표,
2,노바텍,'오매불망' 쇄빙 LNG선 발주 기다리는 조선·철강업계,
0,엘앤씨바이오,"[더벨]셀리버리, 바이오 기업 IPO 흥행 이을까",
1,엘앤씨바이오,오늘의 증시 메모[10월 24일],
2,엘앤씨바이오,오늘의 증시 일정 (10월 24일),
3,엘앤씨바이오,[코스닥 메모] (23일) 유상기준일=케이엠더블유 등,
4,엘앤씨바이오,"<전일공시>: 한미반도체, 55억원 규모 공급계약 체결",
0,대보마그네틱,"대보마그네틱, 공모가 3만1000원 확정…밴드 상단 초과",
1,대보마그네틱,오늘의 증시 메모[10월 25일],
2,대보마그네틱,오늘의 증시 일정 (10월 25일),
0,대보마그네틱,"대보마그네틱 내달 코스닥 입성…""2차전지 수요로 고성장""",
1,대보마그네틱,"[IPO] 대보마그네틱, 내달 코스닥 입성 “생산라인 증설…글로벌 기업으로 도...",
2,대보마그네틱,"대보마그네틱 ""코스닥시장 상장…탈철장비ㆍ2차전지 소재 글로벌 시장 선도할...",
3,대보마그네틱,"[IPO 열전] 대보마그네틱, ""독보적 탈철시스템 기술로 시장 선도할 것""...11월...",
4,대보마그네틱,"[IPO] 대보마그네틱, '탈철기술' 2차 전지로 확대…내달초 코스닥 상장",
5,대보마그네틱,"대보마그네틱 ""차별화된 EMF 기술력 통해 코스닥 상장""",
6,대보마그네틱,"'2차 전지 탈철시스템 기업' 대보마그네틱, 내달 코스닥 상장",
7,대보마그네틱,"[IPO 기자간담회]대보마그네틱, 2차전지 시장 확대 수혜…내달 코스닥 상장",
8,대보마그네틱,[IR플러스] 대보마그네틱 “차세대 탈철기로 기술격차 벌릴것”,
9,대보마그네틱,"[오늘의 증시] 선바이오 IR, 금융통화위원회 회의(10월18일)",
